host_total_listings_count,neighbourhood_cleansed,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price
1.0,9,8,37.77189976333226,-122.50371595524416,1,1,2.0,1.0,1.0,1.0,0,2.0,121.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,85.0
1.0,2,0,37.767850760479504,-122.44902333026828,0,0,4.0,1.0,1.0,2.0,0,3.0,106.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,265.0
1.0,26,18,37.79898523232869,-122.43160293891904,6,0,4.0,2.0,2.0,2.0,0,30.0,49.0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,345.0
2.0,9,8,37.77797171524103,-122.49646711706356,0,0,5.0,1.0,2.0,2.0,0,5.0,26.0,94.0,10.0,9.0,10.0,10.0,9.0,9.0,175.0
1.0,1,1,37.737036369311646,-122.41700263525117,0,0,4.0,1.0,2.0,2.0,0,4.0,80.0,95.0,10.0,10.0,10.0,10.0,9.0,9.0,199.0
68.0,6,5,37.788390848045054,-122.40937138430118,0,0,4.0,1.0,0.0,2.0,0,2.0,65.0,95.0,10.0,10.0,10.0,10.0,10.0,10.0,179.0
1.0,12,11,37.791600705728605,-122.41908337948195,0,0,2.0,1.0,1.0,2.0,0,5.0,95.0,95.0,10.0,9.0,10.0,10.0,10.0,9.0,120.0
2.0,6,5,37.777946204469046,-122.4217770984471,1,0,2.0,1.0,1.0,1.0,0,30.0,139.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,250.0
1.0,1,1,37.74669075459132,-122.40586006346753,3,0,5.0,1.0,0.0,2.0,0,2.0,219.0,91.0,10.0,9.0,9.0,10.0,9.0,9.0,167.0
1.0,3,13,37.72475958967732,-122.43950894720531,1,0,7.0,2.0,3.0,4.0,0,3.0,48.0,99.0,10.0,10.0,10.0,10.0,9.0,10.0,295.0
1.0,29,17,37.74913362522019,-122.50714668525698,1,0,3.0,1.0,1.0,2.0,0,2.0,160.0,91.0,9.0,9.0,10.0,10.0,9.0,9.0,135.0
1.0,4,1,37.75101633234843,-122.41192590958343,1,1,2.0,1.0,1.0,1.0,0,1.0,112.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,200.0
2.0,8,6,37.75078356304526,-122.43125559929602,0,0,5.0,1.0,2.0,3.0,0,30.0,20.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,170.0
2.0,4,1,37.749943080681696,-122.41643555601674,0,0,4.0,2.0,2.0,0.0,0,6.0,14.0,99.0,10.0,10.0,10.0,9.0,9.0,9.0,300.0
5.0,3,13,37.72447082827243,-122.44161772148314,1,0,8.0,2.0,4.0,5.0,0,5.0,17.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,350.0
1.0,26,18,37.79951522682562,-122.42821092853785,6,0,6.0,1.5,3.0,4.0,0,1.0,85.0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,473.0
1.0,3,13,37.7285684876501,-122.45214928203586,0,0,4.0,1.0,2.0,3.0,0,3.0,193.0,99.0,10.0,10.0,10.0,10.0,9.0,10.0,140.0
1.0,4,1,37.76346478503538,-122.4250033288817,0,1,2.0,1.0,1.0,1.0,0,2.0,251.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,145.0
1.0,0,0,37.7771238980299,-122.44215463652628,0,0,2.0,1.0,1.0,1.0,0,3.0,22.0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,185.0
2.0,5,4,37.76054896422167,-122.40402161036673,1,0,4.0,1.0,2.0,2.0,0,2.0,80.0,92.0,10.0,10.0,10.0,10.0,9.0,9.0,250.0
1.0,0,3,37.77882133558746,-122.4422938271663,0,0,4.0,1.0,2.0,2.0,0,30.0,57.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,149.0
2.0,1,1,37.745087704564575,-122.41611264633195,0,0,2.0,1.0,1.0,1.0,0,30.0,55.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,165.0
1.0,16,3,37.787788275916654,-122.44392816821819,0,0,3.0,1.0,1.0,1.0,0,2.0,184.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,210.0
1.0,1,1,37.74692950779075,-122.41684309321005,1,1,2.0,1.0,1.0,1.0,0,2.0,83.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,119.0
1.0,12,9,37.79588509699218,-122.4114514536524,0,0,2.0,1.0,1.0,1.0,0,3.0,24.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,300.0
1.0,7,1,37.75767492349708,-122.42812307785854,1,0,4.0,1.0,2.0,2.0,0,2.0,63.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,325.0
1.0,4,1,37.752415420210944,-122.41957494668358,3,0,3.0,1.0,1.0,2.0,0,5.0,99.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,199.0
1.0,9,8,37.77373214866791,-122.49964125219616,0,0,8.0,1.0,2.0,5.0,0,2.0,264.0,94.0,10.0,10.0,10.0,10.0,9.0,9.0,182.0
2.0,26,18,37.80249196012847,-122.42952468863213,0,1,1.0,1.0,1.0,1.0,0,2.0,26.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,75.0
2.0,10,9,37.801458961284496,-122.40387983102976,0,1,2.0,1.0,1.0,1.0,0,1.0,23.0,94.0,10.0,8.0,10.0,10.0,10.0,9.0,150.0
1.0,5,4,37.75857707199149,-122.40152239085104,1,0,2.0,1.0,0.0,1.0,0,1.0,361.0,94.0,10.0,9.0,10.0,10.0,10.0,9.0,169.0
1.0,1,1,37.73751153074779,-122.41329062951051,1,0,6.0,2.5,3.0,3.0,0,3.0,3.0,100.0,10.0,9.0,9.0,10.0,9.0,9.0,450.0
1.0,4,1,37.76662640641555,-122.42019547057852,0,0,4.0,1.0,2.0,2.0,0,30.0,115.0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,395.0
1.0,4,1,37.757964600984046,-122.41902547490109,6,0,4.0,1.0,2.0,2.0,0,6.0,65.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,180.0
1.0,7,6,37.75909032142458,-122.4289521500669,1,0,2.0,1.0,1.0,1.0,0,30.0,35.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,120.0
1.0,0,3,37.7802411240393,-122.44345219643508,13,0,3.0,1.0,1.0,2.0,0,2.0,198.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,160.0
1.0,0,0,37.77014511420533,-122.42929217382064,0,0,2.0,1.0,1.0,1.0,0,9.0,25.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,225.0
2.0,26,18,37.79715261473406,-122.429582976342,0,1,1.0,1.0,1.0,1.0,0,4.0,65.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,95.0
1.0,2,0,37.765510456787375,-122.44945962848027,0,1,1.0,1.5,1.0,1.0,0,2.0,104.0,95.0,10.0,9.0,10.0,10.0,10.0,9.0,89.0
2.0,8,7,37.7476415288489,-122.44168931854558,1,1,2.0,1.5,1.0,1.0,0,2.0,185.0,97.0,10.0,10.0,10.0,10.0,9.0,9.0,112.0
68.0,6,5,37.787586028132594,-122.40905266187227,0,0,4.0,1.0,0.0,2.0,0,2.0,55.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,169.0
2.0,0,3,37.78045102044843,-122.4454123110231,0,1,2.0,1.0,1.0,1.0,0,1.0,46.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,180.0
2.0,0,3,37.780094764716786,-122.43864784950821,1,1,2.0,1.0,1.0,2.0,0,2.0,135.0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,99.0
1.0,26,18,37.804616430772974,-122.44094483457269,0,0,4.0,2.0,2.0,2.0,0,2.0,39.0,97.0,10.0,9.0,10.0,10.0,10.0,9.0,475.0
2.0,0,3,37.78762882906404,-122.43946087899953,1,1,2.0,1.0,1.0,1.0,0,2.0,43.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,195.0
68.0,6,5,37.787775391402285,-122.40983254468084,0,0,4.0,1.0,0.0,2.0,0,1.0,69.0,95.0,10.0,10.0,10.0,10.0,10.0,9.0,175.0
1.0,4,6,37.75017029539425,-122.4248682100992,1,0,2.0,1.0,0.0,1.0,0,3.0,93.0,95.0,10.0,10.0,10.0,10.0,10.0,9.0,175.0
1.0,4,1,37.75942336176793,-122.407542379533,1,1,2.0,1.0,1.0,1.0,0,3.0,161.0,98.0,10.0,10.0,10.0,10.0,9.0,10.0,155.0
68.0,6,5,37.78775604048985,-122.40978528057332,0,0,4.0,1.0,0.0,2.0,0,2.0,48.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,169.0
4.0,12,9,37.796727985835545,-122.41190632319055,0,1,2.0,1.0,1.0,1.0,0,30.0,38.0,95.0,10.0,9.0,10.0,10.0,10.0,9.0,166.0
1.0,6,16,37.789134146228044,-122.41214899089323,0,1,1.0,1.0,1.0,1.0,0,30.0,35.0,96.0,10.0,9.0,10.0,10.0,10.0,9.0,129.0
1.0,15,4,37.77958077279658,-122.39743219667808,0,0,2.0,1.0,1.0,2.0,0,30.0,20.0,99.0,10.0,10.0,10.0,10.0,10.0,9.0,200.0
2.0,26,18,37.796933832227545,-122.42997804053505,0,0,2.0,1.0,1.0,1.0,0,4.0,7.0,91.0,9.0,10.0,10.0,9.0,9.0,10.0,173.0
68.0,6,5,37.789146109215615,-122.4096178387949,0,0,4.0,1.0,0.0,2.0,0,1.0,55.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,169.0
1.0,12,11,37.79533032684671,-122.4131664905382,0,0,2.0,1.0,1.0,1.0,0,3.0,27.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,218.0
1.0,19,13,37.7310062179856,-122.42289633544495,13,0,1.0,1.0,1.0,1.0,0,3.0,22.0,92.0,10.0,9.0,10.0,10.0,9.0,9.0,139.0
5.0,19,22,37.72571070819362,-122.41813949983369,1,1,2.0,1.0,1.0,1.0,3,1.0,114.0,82.0,9.0,8.0,9.0,9.0,9.0,8.0,65.0
5.0,19,22,37.72545412772756,-122.41889091197281,1,1,2.0,1.0,1.0,1.0,0,1.0,50.0,88.0,9.0,9.0,9.0,9.0,9.0,9.0,61.0
2.0,2,0,37.770672235034795,-122.45181645782827,0,0,2.0,1.0,1.0,1.0,0,3.0,8.0,88.0,9.0,9.0,10.0,10.0,9.0,9.0,250.0
2.0,2,0,37.77014551855592,-122.45352828497582,0,1,1.0,1.0,1.0,1.0,0,2.0,60.0,98.0,10.0,9.0,10.0,10.0,10.0,10.0,119.0
2.0,22,2,37.739315562097616,-122.46211133503441,3,0,4.0,1.0,2.0,3.0,0,3.0,48.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,225.0
2.0,29,17,37.759706435812475,-122.50922005283995,0,0,5.0,1.0,1.0,2.0,0,2.0,44.0,95.0,10.0,9.0,9.0,9.0,10.0,9.0,191.0
4.0,29,21,37.74808848953432,-122.48669835336248,1,1,1.0,1.0,1.0,1.0,0,30.0,15.0,88.0,10.0,9.0,9.0,9.0,9.0,9.0,129.0
2.0,0,3,37.7848183222784,-122.44136463632714,0,1,3.0,1.0,1.0,2.0,0,2.0,14.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,240.0
1.0,4,1,37.75292235695464,-122.42319866801078,1,0,6.0,2.5,4.0,5.0,0,4.0,90.0,94.0,10.0,10.0,10.0,10.0,10.0,9.0,539.0
1.0,9,8,37.78000218535763,-122.48252839415315,0,0,2.0,1.0,1.0,1.0,0,3.0,134.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,150.0
1.0,4,1,37.75511410933107,-122.41000073759704,6,1,1.0,1.0,1.0,1.0,0,1.0,24.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,120.0
1.0,13,7,37.73984906118821,-122.42818516837609,0,0,3.0,1.0,0.0,2.0,0,2.0,76.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,160.0
1.0,17,9,37.79802647863788,-122.4115091230638,1,0,4.0,2.0,2.0,2.0,0,3.0,175.0,88.0,9.0,9.0,9.0,9.0,10.0,9.0,185.0
2.0,19,22,37.72662054277495,-122.41933820157837,1,0,11.0,2.0,5.0,6.0,0,2.0,68.0,93.0,9.0,9.0,10.0,10.0,9.0,9.0,378.0
1.0,7,6,37.75868556288544,-122.42679542741432,1,0,5.0,2.5,3.0,3.0,0,3.0,98.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,525.0
3.0,0,3,37.782774998595116,-122.44313207245285,0,0,4.0,1.0,1.0,2.0,0,2.0,75.0,93.0,10.0,10.0,10.0,10.0,9.0,9.0,175.0
1.0,26,18,37.80279965524332,-122.44078222832606,0,0,2.0,1.0,1.0,1.0,0,3.0,6.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,295.0
68.0,6,5,37.78840240049019,-122.409314298944,0,0,4.0,1.0,0.0,2.0,0,1.0,45.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,179.0
2.0,18,10,37.78454795220815,-122.47520430103457,0,0,6.0,1.0,2.0,3.0,0,1.0,38.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,190.0
1.0,4,1,37.76010979020383,-122.42363279489678,0,1,2.0,1.0,0.0,1.0,0,2.0,308.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,150.0
2.0,0,0,37.777218963319726,-122.43655591888201,1,0,8.0,2.0,4.0,5.0,0,1.0,119.0,91.0,9.0,9.0,10.0,10.0,10.0,9.0,700.0
1.0,4,1,37.75153990345513,-122.42037895209651,1,1,2.0,2.5,1.0,1.0,0,2.0,143.0,94.0,10.0,10.0,10.0,10.0,9.0,9.0,115.0
2.0,0,3,37.78255348516331,-122.44393641775538,12,2,4.0,1.0,1.0,3.0,0,5.0,92.0,97.0,10.0,9.0,10.0,10.0,10.0,10.0,85.0
1.0,2,0,37.76813383856089,-122.44629017125048,0,0,4.0,1.0,2.0,2.0,2,2.0,15.0,100.0,10.0,10.0,10.0,10.0,10.0,9.0,389.0
1.0,14,6,37.75859841655719,-122.4504904354638,3,0,4.0,2.0,2.0,2.0,0,3.0,196.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,333.0
1.0,15,23,37.78898573998706,-122.38933128539473,0,0,4.0,2.0,2.0,2.0,0,30.0,26.0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,325.0
1.0,29,21,37.74732785161242,-122.4895150244504,0,0,4.0,1.0,1.0,2.0,0,2.0,305.0,96.0,10.0,10.0,10.0,10.0,9.0,9.0,129.0
2.0,0,20,37.786285281939946,-122.43309522191662,1,0,8.0,3.5,4.0,4.0,0,5.0,4.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,750.0
2.0,4,1,37.75724979314532,-122.41003774981657,0,0,4.0,2.5,2.0,2.0,0,4.0,13.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,290.0
2.0,0,5,37.77358049034084,-122.42806372501764,0,0,4.0,1.5,1.0,3.0,0,1.0,320.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,180.0
2.0,8,1,37.75538040946973,-122.4265470283844,0,0,6.0,1.5,2.0,3.0,0,30.0,100.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,165.0
4.0,2,0,37.77397226566707,-122.4422614445154,1,1,2.0,1.5,1.0,1.0,0,1.0,63.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,90.0
4.0,15,12,37.77784206254176,-122.41115386062114,1,1,2.0,1.0,1.0,1.0,0,1.0,223.0,97.0,10.0,10.0,10.0,10.0,9.0,9.0,100.0
1.0,25,7,37.75816164628434,-122.46278385000672,0,1,1.0,1.0,1.0,1.0,0,30.0,8.0,95.0,10.0,9.0,10.0,10.0,10.0,9.0,60.0
1.0,5,4,37.75720054595743,-122.3926007487835,0,1,2.0,1.5,1.0,1.0,0,2.0,74.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,115.0
1.0,1,1,37.74076751479321,-122.41133582744335,3,0,3.0,1.0,1.0,1.0,0,2.0,6.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,150.0
